Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
CRAP,117,DerpyDots,https://www.dotabuff.com/players/158722998,4000,3,2,3,3,2,"4.9k peak solo mmr. Kind of burnt on dota, so might remove my signup. Won't draft or shotcall. Tend to avoid playing with the team, which leads to getting solo killed and then losing dota games."
shadonra,56,Lucas,https://www.dotabuff.com/players/121388910,3950,5,5,3,1,1,"Fee, Fi, Fo, Fum
I smell the blood of Cerys
Be alive, or be she dead,
I'll grind her philosopher stones to make my divine rapier"
jmcconnell,45,mplayer,https://www.dotabuff.com/players/188350293,3910,5,1,1,2,2,"Mostly play pos 1. Not in any other leagues.
https://www.dotabuff.com/players/188350293
https://www.opendota.com/players/188350293"
UltraGunner,150,Sharingan,https://www.dotabuff.com/players/141129174,3860,5,5,5,5,5,"Drafting in auction sounds fun, here to achieve my life goal to max bid Treebeard"
Pearberr2,70,mr. world wide,https://www.dotabuff.com/players/94560711,3570,5,2,2,2,4,"Captain of Diamond Hands, Together Strong in AD2L. https://www.dotabuff.com/esports/teams/8319361-diamond-hands-together-strong | https://www.dotabuff.com/esports/players/94560711-mr-worldwide
Team played for Season 31 Contender and Season 33 Intermediate. Played as a sub/stand-in for some teams in CDUB.
Looking to not captain and just play some dotes. Mainly play P1, but looking to play some P5 or P4.
"
Yop,99,Manoy,https://www.dotabuff.com/players/108978171,3500,5,5,4,3,3,"Very value core player. 1 or 2. can 3 if u want. or support. I'm cool with drafting, and my hero pool is massive."
Pearberr2,55,cARN-,https://www.dotabuff.com/players/173067337,3480,5,1,1,4,4,"pos 1, 5,4 PMA <3"
Jotatoe,70,toth,https://www.dotabuff.com/players/102946451,3460,1,1,5,3,1,"If you draft me for anything other than 3, I will grief your entire season. TOXIC, BOOSTED, BAD. I'm gonna ask for Pudge in 90% of games. Now who wants to bid on me? :))"
UltraGunner,20,Dunk,https://www.dotabuff.com/players/89377233,3380,5,1,1,1,1,You guys are trash at the game
Miyu,50,MrTacoFish,https://www.dotabuff.com/players/139382447,3330,5,3,4,4,4,"I am going to start working again soon but I should be available with enough notice. Working around work and Dota with a good schedule should be fine. I can play Solid Farming Safe, Offensive Offlane, Offensive support, and Hard support. PA, Jugg, WK, Warlock, BB, Slardar, Enigma, Lone, Life. These are my hero's I have been doing good on. I have good game sense but I will admit with drafting is hard for me. I usually let someone else pick my hero and just play."
Teresa,42,Reggie,https://www.dotabuff.com/players/1025088989,3220,1,1,1,1,1,"PLease do not pick me if you are bad or I think you are bad. List of requirements to be my captain :
1. You cannot be lower skilled than me.
2. You cannot pick me if you are going to pick me the same hero twice in a month.
3. If you are friends of  toth , count yourself out.
4. Message me before picking me to see if we are a fit.
"
Yop,44,Smashe,https://www.dotabuff.com/players/16710765,3220,5,1,5,4,4,"excited every week for the love of the game. i will play any position besides pos 2. best on pos 1/3 equally, then 4/5 equally. i think i hit creeps well in lane which is good for early game but generally need guidance after that. can press buttons. prefer a pos2 that is play maker and tempo creator."
nooyin,41,Tiggles,https://www.dotabuff.com/players/140674032,3160,2,1,2,5,5,Just your average goon looking for a squad.
bsvhsvj,42,Ferris Euler,https://www.dotabuff.com/players/101718397,3070,3,3,3,4,5,shitass old man support player since season 6. would love a season of pos 4 instead of 5 but beggars can't be choosers.
CRAP,35,ALooseMoose,https://www.dotabuff.com/players/83487685,3060,5,2,2,4,3,"3k core player here. In the past I've mostly played 4/5 on my RD2L teams, but last season I played carry and thought I did pretty well and wouldn't mind doing that again. So basically in order of preference my top 3 roles are 1, 4, and 5. Cheers."
Wicked_SiCK,50,Bahbear,https://www.dotabuff.com/players/250691525,3050,3,1,1,5,5,"First season! I'm a hardcore support player. I'm level 28 Dazzle and am also great at AA, CM, Lich, WD, Ogre, Warlock, and Shadow Shaman. https://www.dotabuff.com/players/250691525"
Jotatoe,69,Sambo,https://www.dotabuff.com/players/258679521,3000,1,3,2,3,5,"100 ping gamer here. On the east coast for the start of the season at least, probably less value because of it."
Mooshack,55,Charkhil,https://www.dotabuff.com/players/78362704,2990,1,1,1,5,1,auction ticker go ding
Ezpz,10,Narte,https://www.dotabuff.com/players/33840077,2980,3,1,1,3,1,"I don't play this game anymore, except for fun w/ fun people. I am not however completely washed and dog. I just wanna vibe and play some games with some fun people :) Really don't want to play pos5 anymore. so i'd like to either try out position 4 more earnestly or to play pos 1 as those are the roles im the most interested in. However im going with a i'll play anything but 5 this season kind of vibe. The only way im going to practice is if someone q's with me. 
"
*Kisses*,23,Michael J Jackson,https://www.dotabuff.com/players/66198763,2980,2,2,2,2,2,6 PM PT daily or later
UltraGunner,34,Newbycakes,https://www.dotabuff.com/players/24521769,2890,5,2,2,5,2,
Mooshack,25,Woh?,https://www.dotabuff.com/players/152985237,2840,1,1,1,2,5,What Clare said.
CRAP,12,Mooncake,https://www.dotabuff.com/players/304522296,2810,2,1,3,3,2,Play mostly 3 & 4. I'm archon so don't expect much more than that.
bsvhsvj,58,Ripley,https://www.dotabuff.com/players/70487965,2780,2,1,5,4,1,"I play pos 3 - if you're payin bux for me to play something else you've fucked us both over. Luv you
"
UltraGunner,165,VIBES (Low priority king),https://www.dotabuff.com/players/178284854,2740,5,1,5,1,1,"Amane, washed up havent played rd2l in 3 years (ONLY ULTRAGUNNER PLS DNT GREIF ME)
"
nooyin,11,Penwynn,https://www.dotabuff.com/players/100071079,2730,2,1,2,5,5,"https://www.dotabuff.com/players/100071079

No drama please. Looking to play some try-hard dota. Pick me as support and I'll win the lane for you.
I like to talk a lot during the laning phase and will do my best to communicate into the mid game. 
I never flame or rage, and I expect the same from my teammates.

Previously, I've qualified for Round 1 playoffs in Season 24 with PonyPals.
Also a winner for the All Star game for Season 24 as well!


"
ar,24,Poncho,https://www.dotabuff.com/players/86179205,2700,2,3,5,4,2,I can play position 5 but just know that I will show up to every game high if asked to do it. My mmr has slid a little bit from last season but only 1 medal so don't be thinking i've lost my mojo. My Ursa and weaver were so feared last season they got banned almost every game. Just cause my stats don't look good doesn't mean i dont play good. Check this: dotabuff.com/matches/6241462299  Most plebs are too dumb to understand the impact i have beyond the scoreboard. You better bid what im worth.
Miyu,55,Spirited,https://www.dotabuff.com/players/29526711,2560,3,4,3,3,4,I survived toth mid AMA
jmcconnell,20,Ridin' heelies escapin' feelies,https://www.dotabuff.com/players/84060273,2550,2,1,5,4,3,heelysgaming back at it again with another minecraft lets play and how too
Ezpz,20,tracedinair,https://www.dotabuff.com/players/19637759,2500,2,1,1,4,4,
Teresa,1,rabbi,https://www.dotabuff.com/players/302358247,2410,4,2,5,5,1,
shadonra,17,Lee Harvey AWPswell,https://www.dotabuff.com/players/130927010,2360,1,1,1,3,5,why draft a high mmr 5 haha wow they are so efficient at not farming lmao
TCSlayer,6,[PDF] Saltpork,https://www.dotabuff.com/players/108686019,2210,1,2,3,5,3,"my hero pool is whatever you want it to be, particularly enjoy clerics (dazzle, treant, chen, undying etc)"
TCSlayer,3,Super Grumbus,https://www.dotabuff.com/players/209848885,2170,3,2,5,5,4,Prefer pos 3/4. Here to improve. I like to ever-expand my hero pool but I'm chill with narrowing down on just a few for a season. I'm my dota discord's resident smooth brain theorycrafter.
Vuvuzela Virtuoso Hans Rudolph,50,TheMantis,https://www.dotabuff.com/players/111747192,2120,3,2,3,3,5,"im gay and it will make the news; 

MD2L floating day early week"
ar,1,Krenn,https://www.dotabuff.com/players/519770,1920,1,1,1,3,5,"I may not be good, but I'm tenacious; you all ain't getting rid of me that easily!"
vehtwo,50,YungBuck,https://www.dotabuff.com/players/192389582,1470,1,1,2,3,4,I guess im no longer value if this is auction based. Aug fears my abaddon and yfu fears my silencer. Pos 5 gamer who is lookin to have some fun and learn more about dotes. Responds well to being told what to do. Surviving an Eli season currently :)
*Kisses*,0,schuz0r,https://www.dotabuff.com/players/86834494,1100,1,1,2,4,4,https://www.dotabuff.com/players/86834494
