Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
Vuvuzela Virtuoso Hans Rudolph,125,AwfulWaffLE,https://www.dotabuff.com/players/64041417,5001,1,2,2,4,5,Pretty sure my MMR is a bait. I'm free most days
Nifuji,89,AllRoundGoodGuy,https://www.dotabuff.com/players/167829403,5000,5,5,5,5,5,metrohook.com
Vuvuzela Virtuoso Hans Rudolph,225,Timber Hearth,https://www.dotabuff.com/players/152187834,4811,3,3,5,1,1,"Every luxury has a deep price. Every indulgence, a cosmic cost. Each fiber of pleasure you experience causes equivalent pain somewhere else. This is the first law of emodynamics. Joy can be neither created nor destroyed. The balance of happiness is constant. Fact: Every time you eat a bite of cake, someone gets horsewhipped. Facter: Every time two people kiss, an orphanage collapses. Factest: Every time a baby is born, an innocent animal is severely mocked for its physical appearance."
Pneuma,171, inkognito,https://www.dotabuff.com/players/273226888,4706,5,5,5,5,5,washed in piss
ZombiesExpert ,69,Tiger™,https://www.dotabuff.com/players/109383801,4646,5,3,3,1,1,RD2L Sunday 7pm PST league
Ferris Euler,171,emocvst,https://www.dotabuff.com/players/314264248,4626,1,5,3,1,1,"mid pls, can possibly maybe very maybe play offlane if you ask me beforehand"
Ferris Euler,78,Yamez,https://www.dotabuff.com/players/177129466,4413,2,1,2,4,5,"Ancient 4 Support. Prefer 5 to 4, but play both. Used to play 1 and 3 long time ago. AD spammer.
Strengths: Teamfight, Morale / Weaknesses: Farming, Micro
https://www.dotabuff.com/players/177129466"
MGHappyhobo,71,Empty Cloud,https://www.dotabuff.com/players/120052382,4384,3,4,2,4,2,"professional bag fumbler, washed up midlaner wanting to play 4 but can play mid. netflix second monitor enjoyer"
tokyo/mokyo,79,Bakerboy,https://www.dotabuff.com/players/119941833,4300,3,1,3,5,4,Pos 4 primary. Willing to play 1 or 3 or 5 if i am the highest mmr player/best option.
TheMantis,46,juicy,https://www.dotabuff.com/players/162015739,4258,5,2,4,2,2,Available almost every Sunday. Only have one account. Prefer playing 1 or 3. Looking forward to playing in a league environment.
ZombiesExpert ,58,[RD] ruN,https://www.dotabuff.com/players/95813278,4246,1,1,3,5,5,Just your average support player.
Reedy,92,Miyushi,https://www.dotabuff.com/players/117329309,4233,1,1,1,2,5,"washed. pos 5 only. my current mmr is 4233. If you draft a high mmr support team with legend cores, I WILL abandon. idc bans. "
Pneuma,50,Mik5,https://www.dotabuff.com/players/400892875,4200,1,1,3,5,5,
ShadowAce,80,<Phoenix>,https://www.dotabuff.com/players/86152976,4186,5,5,5,5,4,here to be griefed by tree again <3
Ferris Euler,26,Ripley,https://www.dotabuff.com/players/70487965,4153,2,1,5,1,1,i miss ratman
Nifuji,82,hanmingzyy,https://www.dotabuff.com/players/74883563,4124,1,5,2,2,2,I am very rusty because of having less time for dota
Tazerface,319,Drewbius Maximus Ultimus,https://www.dotabuff.com/players/65864683,3756,3,3,4,5,5,"I primarily play soft/hard support, but I am also fairly successful as an offlaner"
Nifuji,71,Smashe,https://www.dotabuff.com/players/16710765,3637,5,2,5,3,3,"at my mmr peak right now, so very grief to draft me. low legend player that also prefers core role, the perfect combo. greedy player."
2centz,84,Moon,https://www.dotabuff.com/players/1095018804,3440,1,1,1,1,5,"A female? Hang on fellas I got this!

Tips fedora brim over eyes to give an aura of mystery and glides up to you on my light up heelies

H-hi m'lady, would you perhaps consider being my qt 3.14 gf? snickers nefariously /thinks to self/ ""man if this works, I'll get this cute girl to be my girlfriend and I'll ride the cool roller coasters!""

c'mon, luck be a lady tonight! cross fingers and gulps s-so...adjusts collar and looks firmly what do you say to my proposal? waits patiently :3"
MGHappyhobo,41,Woh?,https://www.dotabuff.com/players/152985237,3429,1,1,1,2,3,"Bad at everything.
Message for my next carry:  https://www.youtube.com/watch?v=CBx6e9cZlBQ and https://www.youtube.com/watch?v=A0TlnvbPvSc
"
Reedy,2,Dream,https://www.dotabuff.com/players/58762087,3388,4,3,4,4,3,"I play RdD2L to meet new folks and slay together. Haven't played too much of this patch due to weddings, but I feel like I can still contribute well as long as the team is communicative and have a solid shotcaller. Down to clown or play to win, I guess it depends on the rest of the team dynamics. Past couple of seasons I've been on teams that have been pretty much MIA until gameday which is fine, but it would also be nice to have a team that likes to practice or scrim to get better chemistry."
ShadowAce,49,Kizu,https://www.dotabuff.com/players/100579655,3200,5,4,5,1,1,Core
Vuvuzela Virtuoso Hans Rudolph,34,Newbycakes,https://www.dotabuff.com/players/24521769,3076,5,2,3,4,4,"Look i know yall going to pick me as Pos5 and Poncho as Pos4 but I just wanna carry someone in a different role this season....
Im totally trash btw...."
CRAP,50,ALooseMoose,https://www.dotabuff.com/players/83487685,3000,3,2,2,3,4,Just looking for a team that is not toxic pls
CRAP,19,MAPPO,https://www.dotabuff.com/players/123919855,2659,1,1,1,1,1,"1pick Treebeard
2pick Vuvu
3pick Buck
You are welcome."
Tazerface,23,DevilCantCry,https://www.dotabuff.com/players/91037377,2535,4,1,5,3,3,
MGHappyhobo,26,YungBuck,https://www.dotabuff.com/players/192389582,2500,2,1,4,3,5,Will update later.
2centz,41,Ridin' heelies escapin' feelies,https://www.dotabuff.com/players/84060273,2500,1,5,4,3,2,certified small weiner haver. still not calibrated suck my nuts
Mooshack,6,mangi,https://www.dotabuff.com/players/118563219,2321,2,1,2,4,5,"I prefer playing a support role. I am recently getting back into dota after having a kid. 
I can definitely commit to sunday PST and likely will be able to for wednesdays but not sure. "
tokyo/mokyo,1,statiC,https://www.dotabuff.com/players/345237110,2171,2,5,3,4,4,"Very PMA. I've been playing since 2013, but am still a 2K scrub. Lately I've been playing almost exclusively mid, but have a good amount of experience playing 4 / 5 as well."
Tazerface,1,Kylo Ren,https://www.dotabuff.com/players/120673942,2118,3,3,4,4,4,"No other leagues, open to all roles."
Pneuma,30,void,https://www.dotabuff.com/players/1291743128,2110,5,1,2,2,5,I'm open to playing any position
ZombiesExpert ,0,Krenn,https://www.dotabuff.com/players/519770,2028,1,1,2,3,5,All can be discerned from my anilist rankings.  https://anilist.co/user/Krenn/animelist/Completed
TheMantis,1,giantpiff,https://www.dotabuff.com/players/3869814,2011,5,3,5,5,5,"PST-SUN works best. 
giantpiff is my only account. 
Open to playing any role that will help the team reach success. Extremely comfortable pos 1,3,4,5. Comfortable pos 2.
Please feel free to reach out if you have any questions or concerns."
