Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
Mooshack,261,Zewqew,https://www.dotabuff.com/players/79089948,5130,5,5,2,1,1,"""Will play mid or carry, I keep winning and I don't know how or why."""
[PDF] Saltpork,140,Tree,https://www.dotabuff.com/players/95576973,5020,1,1,1,1,3,"""This signup is provided for educational and informational purposes only and does not constitute picking a useful player. The information provided should not be used for diagnosing or treating a mental health problem, and those seeking advice should consult with a licensed professional. Always seek the advice of your doctor or other qualified health provider before first picking Treebeard. Side effects may include headaches, loss of MMR, and/or deflated personal sense of self worth."""
TheMantis,80,Chraos,https://www.dotabuff.com/players/175700232,5010,4,1,4,5,5,"""Playing on 250 ping from london, hence will only play support for RD2L. Most people think I'm insane and some players will actually revolt if you put me in their team. Also last season my team did not win a single series. I play 1 hero at the divine level, and everything else at roughly archon. Also just started masters with full time job so unlikely to be able to commit to scrim or even games certain weeks. May abandon season if relocated. I'm actually telling the truth, just want chill team"""
FJFJFJJ,175,hanmingzyy,https://www.dotabuff.com/players/74883563,4920,2,5,3,2,3,"""Havn't been able to play much lately, on a losing streak"""
TheMantis,110,slowz-,https://www.dotabuff.com/players/170288961,4860,3,4,5,3,2,"""I will be playing the tuesday and the Sunday 7PM PST divisions. I prefer to play offlane right know but im open to play any role, i have experience drafting and captaining teams. https://www.dotabuff.com/players/170288961"""
Nifuji,170,Miyushi,https://www.dotabuff.com/players/117329309,4810,1,1,1,2,5,"""pos 5 ONLY. paying more than 80 for me is a grief tbh. only draft me if you already have cores. my biggest strength is NOT FARMING. ty"""
Vuvuzela Virtuoso Hans Rudolph,200,DoomCow33,https://www.dotabuff.com/players/172199571,4730,1,1,1,1,1,"""someone blackmail narte into signing up ty"""
BoX,200,1 or netflix second monitor,https://www.dotabuff.com/players/81971204,4670,5,1,1,1,1,"""1 or netflix second monitor"""
BoX,100,stonks,https://www.dotabuff.com/players/205436003,4650,3,3,3,3,3,"""quite possibly the greatest of all time. professional osu mouse
 
 player. very handsome. have no interest in dota, only signing
 
 up to actively sabotage the team with my playstyle. i will not
 
 rotate, i will not help you. If you lose your lane that is your
 
 problem not mine, do not cry. I am in financial ruin due to
 
 recent Chinese riots and protests, so you will have to pay me
 
 to show up. I play on thousands of accounts, you will not have
 
 them linked. You are entitled to nothing. I will not sc"""
FJFJFJJ,160,Littletimmy,https://www.dotabuff.com/players/171096094,4630,4,1,3,4,3,"""Divine player, can play any role except mid. Never played in a league. https://es.dotabuff.com/players/171096094"""
ZombieExpert,130,choco,https://www.dotabuff.com/players/138527694,4570,1,5,1,4,4,"""I AM NOT A LIABILITY DESPITE PREVIOUSLY BEING PERMANENTLY BANNED"""
redground,130,Tokc,https://www.dotabuff.com/players/96895570,4520,5,3,3,3,2,"""I are bad gg."""
SMACK,140,Scrub,https://www.dotabuff.com/players/155595655,4500,1,1,1,1,1,"""positive brand of toxicity"""
BoX,170,Timber Hearth,https://www.dotabuff.com/players/152187834,4500,4,3,5,1,1,"""offlane preferred, but any core is fine. i will not shotcall. i have zero independent thoughts. my brain is pure cosmic slush to be tentatively sampled through a bendy straw."""
Mooshack,168,Beach Jeans,https://www.dotabuff.com/players/87336063,4450,1,2,4,5,5,"""I'd prefer to play one/both of the support roles, but my offlane is aight. I think my hero pool is a bit deeper than average, so its easy to fit me into most drafting styles. Should be able to show up to every game :)"""
Nifuji,100,Ratman,https://www.dotabuff.com/players/171871486,4400,1,1,1,3,4,"""Washed player adjust me to archon or something...old man hands...if you are looking for a father figure to give you sound life advice I can be your daddy. I have no idea what the meta is or where runes spawn. I'm a bit of a hero puddler so grab your swimsuit, the water is refreshing. Also I got high and decided to sign up, I may have regerts tomorrow.
https://www.dotabuff.com/players/171871486"""
shadonra,111,Zoompa,https://www.dotabuff.com/players/57011991,4250,1,1,2,5,5,"""https://media.discordapp.net/attachments/224305269562277890/1025856296039219282/Screenshot_20221001-124620.png?width=1295&height=905"""
TheMantis,100,Yamez,https://www.dotabuff.com/players/177129466,4210,2,1,2,4,5,"""https://www.dotabuff.com/players/177129466. Ancient 3 support; better at 5 than 4. I have played pos 1 and 3 in the past (at lower mmr), but not really 2.
 
 Strengths: Morale, Teamfight --- Weaknesses: Micro, Farming.
 
 I really enjoy ability draft on the side. If you play AD, let's play together outside of rd2l sometime."""
SMACK,76,Fallen,https://www.dotabuff.com/players/127264062,4120,5,1,1,1,1,
Rhyzerz,151,Ashen,https://www.dotabuff.com/players/149155170,4110,5,1,1,1,1,
PK.gronaldo44,101,djconrad,https://www.dotabuff.com/players/89699373,4090,5,2,2,2,3,"""Artist formerly known as The Guy From The Yop Commercial. EST gamer. One of these days I'll switch divisions."""
[PDF] Saltpork,180,<Phoenix>,https://www.dotabuff.com/players/86152976,4060,4,2,4,4,3,"""p33beard"""
FJFJFJJ,140,Clare,https://www.dotabuff.com/players/102264839,4010,1,1,4,5,5,"""Bids over 100 will result in verbal abuse"""
BoX,80,Steil,https://www.dotabuff.com/players/5641567,3990,1,1,1,1,5,"""Don't play much ranked anymore, mmr on the decline. Sometimes try to play 5 heroes at 4 but it doesn't really work. Have done rd2l in the past with mixed experiences. I'm gonna tell you what to do sometimes."""
[PDF] Saltpork,75,Fulcrum,https://www.dotabuff.com/players/185710583,3930,5,2,3,1,1,"""Recent Champion, 2 time winner (1 RD2L 1 SEAL).
 
 Carry player pick me if you want free bans for your better players, not toxic, not easily tiltable, I do not play all that many pubs so I will ask for current meta builds often but I will play them correctly.
 
 https://www.dotabuff.com/players/185710583"""
toth,80,Bakerboy,https://www.dotabuff.com/players/119941833,3910,1,1,3,5,4,"""Pos 4 player. Can pos 5 if needed. Always miss at least one game a season due to being sleep deprived, be prepared."""
robE1337,85,George,https://www.dotabuff.com/players/240889153,3730,5,2,3,4,3,"""I have started going back to college so I haven't been playing much so i might be worth less than my mmr suggest but ill let u guys figure that out for yourselves."""
ZombieExpert,79,TripleRainboW)),https://www.dotabuff.com/players/80718533,3710,1,1,2,5,5,"""Position 4 player here. available most evenings."""
robE1337,80,Lucas,https://www.dotabuff.com/players/121388910,3710,1,1,1,1,1,"""This is the season for working on myself and reclaiming my masculinity. I will be acquiring capital and investing (clicking creeps and buying shiny things in shop). Rediscovering myself by going on a spiritual journey off into the wilderness (sitting in jungle all game). Most importantly, I am going to be fighting and unleashing my inner spartan (running at supports and dying 1v3 in enemy triangle)."""
Vuvuzela Virtuoso Hans Rudolph,113,AwfulWaffLE,https://www.dotabuff.com/players/64041417,3670,1,2,3,4,5,"""I'm generally free except Monday nights."""
PK.gronaldo44,47,Mappo,https://www.dotabuff.com/players/123919855,3620,1,1,1,1,1,"""Rusty at dota."""
yfu,109,Princess,https://www.dotabuff.com/players/210590885,3610,1,1,5,1,5,"""Party Boosted and washed. looking to be apart of a 6 win or early disband team"""
Rhyzerz,70,Newbycakes,https://www.dotabuff.com/players/24521769,3410,5,3,1,5,2,"""Gained over 1000 mmr from last season probably going to gain more. Grinding to Divine!! I'll play w/e position prefer 1 or 4. Do with that knowledge as you please.
 
 Also might show up a little late cause I sleep after work."""
Mooshack,33,Woh?,https://www.dotabuff.com/players/152985237,3400,1,1,1,2,3,"""If it were up to me I'd get last pick every draft."""
redground,30,Barrel,https://www.dotabuff.com/players/87722154,3370,1,1,1,1,1,"""will abandon team for childcare. Will pause game to yell at shitty teamates who cant be human beings. Will tell teammates to touch grass. Will likely not scrim with you. Will likely not like you. Will likely not make it through to draft."""
yfu,48,Cerys,https://www.dotabuff.com/players/83833103,3320,1,1,1,1,1,"""Washed asf and not playing much dota. Don't draft me. Seriously. I can't remember the last time one of my teams made playoffs. Coincidence? No."""
yfu,40,TurboTorqued,https://www.dotabuff.com/players/118947899,3310,5,4,4,5,4,"""https://www.dotabuff.com/players/118947899
 
 Gladly will fill any role, preference in order of 4,1,5,3,2"""
Vuvuzela Virtuoso Hans Rudolph,70,Smashe,https://www.dotabuff.com/players/16710765,3210,4,2,5,4,4,"""prefer offlane, ready to play any role at ancient level besides mid"""
Vuvuzela Virtuoso Hans Rudolph,21,ShadowAce,https://www.dotabuff.com/players/167390514,3100,4,1,4,3,2,"""Would be interested in playing any role except mid."""
toth,9,ALooseMoose,https://www.dotabuff.com/players/83487685,3040,4,2,2,3,4,
toth,32,Tank,https://www.dotabuff.com/players/32812879,3000,1,1,1,2,2,"""Stopped q-ing ranked. Either degen 5-stack unranked or AD solo q.
 
 https://www.dotabuff.com/players/32812879"""
shadonra,15,Ripley,https://www.dotabuff.com/players/70487965,2780,1,1,5,1,1,"""idk"""
Rhyzerz,46,Poncho,https://www.dotabuff.com/players/86179205,2700,1,1,1,5,1,"""I'm pos 4 player. No position 5 plz. I play techies and hoodwink. If they first phase ban both i also play pudge. Thank you."""
PK.gronaldo44,11,Ridin' heelies escapin' feelies,https://www.dotabuff.com/players/84060273,2590,1,1,4,4,1,"""Bigger pp haver"""
yfu,47,Kizu,https://www.dotabuff.com/players/100579655,2580,3,5,5,1,1,"""Me core :)"""
shadonra,8,Dream,https://www.dotabuff.com/players/58762087,2550,4,3,3,4,3,"""Will update later."""
Mooshack,57,businessman,https://www.dotabuff.com/players/325074420,2420,1,1,5,3,3,"""Previous Legend/Ancient offlaner. Took a long break and got really bad at dota. 
 
 Been playing off roles in pubs, but ready to focus on offlane again."""
robE1337,1,Super Grumbus,https://www.dotabuff.com/players/209848885,2410,3,3,4,5,5,"""Prefer p4 over p5. Let's not have 2 of my teammates get banned this time :)"""
SMACK,9,Lee Harvey AWPswell,https://www.dotabuff.com/players/130927010,2360,5,5,5,5,5,"""I gave up on being good at video games the second time that scorpion killed me while I ran to the al kharid mines"""
FJFJFJJ,10,PursuantSpy,https://www.dotabuff.com/players/198531572,2170,1,2,1,4,4,"""Crusader support player currently only signed up for the rd2l sun pst league, I play a range of supports
 
 https://www.dotabuff.com/players/198531572"""
ZombieExpert,10,YungBuck,https://www.dotabuff.com/players/192389582,2100,2,1,3,4,5,"""Just a scrubby support gamer looking to enjoy some 5 stack dota. I've yet to master admin rigging to the levels of Tree and Vuvu. Maybe this is the season I figure it out...."""
Nifuji,0,Avro,https://www.dotabuff.com/players/253953652,2060,5,2,1,2,5,"""Can play any role except offlane, laidback looking to improve and have fun! Used to be named Porgal."""
PK.gronaldo44,0,Krenn,https://www.dotabuff.com/players/519770,1800,1,1,2,4,5,"""There's no escaping me... I may be old and slow, but I'm relentless. Kinda like that immortal snail."""
redground,17,Hollywood,https://www.dotabuff.com/players/156404497,730,1,1,1,5,5,"""Washed i think"""
