Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
ALooseMoose,153,Yamez,https://www.dotabuff.com/players/177129466,4700,1,1,2,4,5,"Ability Draft spammer. Haven't played ranked in over a month. Low rank confidence, so I'm probably more like 4k than 4.7k. Get me cheap!
I know how to support (not carry nor mid, though occasional offlane on very few heroes). Not playing in any other leagues.
https://www.dotabuff.com/players/177129466"
Vuvuzela Virtuoso Hans Rudolph,119,AllRoundGoodGuy,https://www.dotabuff.com/players/167829403,4600,5,5,5,5,5,#NifujiForAdmin
DoomCow33,111,Mooshack,https://www.dotabuff.com/players/41807270,4600,1,1,2,2,1,"Legendary RD2L player. Would prefer support.

My last fight was more than 20 years ago. I'm not a fighter, I'm a lover. If somebody's going to speak bad about me, I will walk away. But if a guy like Steven Seagal slaps me once, I will slap him twice as hard. Life is full of violence."
mid or courier adventure,118,Wii Sports Master,https://www.dotabuff.com/players/119541084,4559,4,5,1,2,2,sunday im not in anything else
mid or courier adventure,140,BBTM,https://www.dotabuff.com/players/59381601,4543,5,1,4,4,1,"4543 - washed up carry player, if needed i can help draft
if you want to know more just msg me on disc"
redground,75,ß r ¡ N x,https://www.dotabuff.com/players/411532299,4300,2,4,4,3,3,
KatzeHund,107,[RD] ruN,https://www.dotabuff.com/players/95813278,4246,,,,,,signed up by RATMAN GAMING
ALooseMoose,81,hanmingzyy,https://www.dotabuff.com/players/74883563,4160,1,5,3,2,3,
ALooseMoose,43,Scrub,https://www.dotabuff.com/players/155595655,4109,1,3,1,2,1,my behavior score is too low to play ranked
DoomCow33,113,Smashe,https://www.dotabuff.com/players/16710765,3800,4,4,4,3,3,"at my mmr peak, usually bounce around low legend (prob my true rank down there). prefer core, will only work as supp on team where i'm lowest mmr player."
mid or courier adventure,56,GSKW,https://www.dotabuff.com/players/66532818,3723,3,3,3,2,2,I will be playing PoE more than dota. Buck has lumpy ears
ShadowAce,14,rocksalt,https://www.dotabuff.com/players/131466252,3616,2,1,1,4,4,"I participate in AD2L but that's on Thursdays
My only account:
https://www.dotabuff.com/players/131466252"
Vuvuzela Virtuoso Hans Rudolph,45,Woh?,https://www.dotabuff.com/players/152985237,3483,1,1,1,2,3,https://www.youtube.com/watch?v=OwsmTsj2beA
ShadowAce,31,TripleRainboW)),https://www.dotabuff.com/players/80718533,3403,1,1,2,5,5,I am available most evenings. Pos 4 player. Open to learning/meeting new players. 
KatzeHund,6,Dream,https://www.dotabuff.com/players/58762087,3388,4,4,3,3,4,"comfortable at any position but would prefer to play 1, 2 or 5 this season if possible. I think I'm pretty value for my rank since I prefer to play in friendstacks and avoid solo queue. Slowly making the grind up to Ancient hopefully by the start of the new year. talk to my past teammates and I think most of them have positive things to say about me.  looking to meet new folks and slay together."
Vuvuzela Virtuoso Hans Rudolph,23,Newbycakes,https://www.dotabuff.com/players/24521769,3076,5,1,4,4,4,"Look i might not be here the full season cause of possible position changes and schedule changes. 
I want to play Pos1 but everyone will say no so, I'll also play Pos3..."
redground,0,MAPPO,https://www.dotabuff.com/players/123919855,2800,1,1,1,1,1,Might miss 3 weeks in feb.
DoomCow33,10,mangi,https://www.dotabuff.com/players/118563219,2560,1,1,1,3,5,Not playing any other leagues other than this. Love supporting and am an open minded and willing learner. 
redground,0,Jimmy Pesto,https://www.dotabuff.com/players/110119494,2137,1,1,3,3,3,"I'm a bad player, but a good time. I'd like to play 3/4 if possible, but know 5 is the likely destination. Just happy to be playing in an organized way again. "
Ridin' heelies escapin' feelies,0,Krenn,https://www.dotabuff.com/players/519770,1530,1,1,1,3,5,old
