Winner:,Cost:,Discord ID:,Dotabuff Link:,MMR:,Comfort (Pos 1):,Comfort (Pos 2):,Comfort (Pos 3):,Comfort (Pos 4):,Comfort (Pos 5):,Player statement: 
djconrad,66,Miyushi,https://www.dotabuff.com/players/117329309,4850,1,1,1,2,5,"Bad at shotcalling.Pos 5 only, friends stack enjoyer. Hero puddler. I do, however, have lots of free time to scrim/pub.. Please stop overspending on supports. The higher our mmr, the better we are at NOT farming AND ks'ing. If I'm your 2nd/3rd highest mmr on the team, we're gonna have a bad time. Would love to run it back with my boy Tokyo or get on Hobo's team :> but I'm down to play with any PMA captain'"
Tokyo,151,h,https://www.dotabuff.com/players/69243302,4690,3,1,5,2,2,"unavailable week 0
 i suck, carried in every game by immortal smurfs'"
DoomCow33,135,Mason,https://www.dotabuff.com/players/108050692,4670,2,3,3,5,2,blblblblbblblbl'
Burrahobbit,160,anbokr,https://www.dotabuff.com/players/26595816,4640,3,2,1,1,1,"Winrate/KDA inflated by 5 stack unranked from years back. Pretty washed up. Carry only player. Prefer chill team, will scrim when asked, but I'm the type of player that just wants to show up on Sundays for some chill CM games. Not into drafting/shot-calling contribution.'"
キZend,205,hanmingzyy,https://www.dotabuff.com/players/74883563,4550,2,5,3,2,4,"Not able to play as much lately, recalibrated to 4650 ish recently'"
TheMantis,155,George,https://www.dotabuff.com/players/240889153,4530,5,3,4,5,3,Washed up carry player so probably shouldn't pick me :( https://youtu.be/wEWF2xh5E8s'
djconrad,120,ExO,https://www.dotabuff.com/players/45626568,4520,1,1,3,4,5,
YungBuck,114,Fallen,https://www.dotabuff.com/players/127264062,4480,5,1,1,1,1,
Vuvuzela Virtuoso Hans Rudolph,101,stonks,https://www.dotabuff.com/players/205436003,4440,3,3,3,3,3,comfy gamer uwu'
Clare â¤ Teresa,121,Scrub,https://www.dotabuff.com/players/155595655,4400,1,1,1,1,1,"my behavior score is literally 2800
 https://cdn.discordapp.com/attachments/955000235963318272/1007498944248561684/unknown.png'"
gronaldo44,150,2centz,https://www.dotabuff.com/players/971475960,4380,5,4,3,3,4,https://www.dotabuff.com/players/971475960 play in TD2L dont really care role just want to win'
Chraos,80,phattywhale,https://www.dotabuff.com/players/134263854,4330,5,2,5,3,3,"Best roles are 1 & 3 by far. PMA tryhard like to have fun. Note: I will be unavailable weekend of 10/9, probably one other weekend after that.'"
YungBuck,79,Zoompa,https://www.dotabuff.com/players/57011991,4320,1,1,2,5,5,https://media.discordapp.net/attachments/193123024201973760/1006446866260557834/D233z2pUYAA2v2M.jpg'
Clare â¤ Teresa,146,swiggity swOOty,https://www.dotabuff.com/players/131630628,4270,3,4,5,4,4,"I won't be participating in any other league since I don't have much time thx to college, I'm chill on sundays tho. 
 I wouldn't mind playing offlane since it's the most fun and less stressful role.
 Best Heroes are pango, bb and squirrel.'"
Burrahobbit,170,33 poop master,https://www.dotabuff.com/players/81971204,4220,3,5,1,1,1,i miss her
Tokyo,95,heart cold like december,https://www.dotabuff.com/players/188649776,4220,4,5,3,1,1,would prefer to play mid'
MGHappyhobo,60,GSKW,https://www.dotabuff.com/players/66532818,4100,1,1,1,1,1,"I love dota. POE sucks now.
 I am legend 3. cock.
 https://cdn.discordapp.com/attachments/270717654862528513/966905833004879892/unknown.png'"
Burrahobbit,55,ultr4num1fan/bj0rn,https://www.dotabuff.com/players/201058787,4100,4,1,1,4,1,"hey guys, ultr4num1fan here! Does anyone know if my favorite player, Ultragunner, is playing this season?'"
キZend,85,Frostbite,https://www.dotabuff.com/players/491161311,4100,2,1,4,3,2,"Washed up League player trying to play pos 3, and take the division far too serious for my own mental health.
 My alt: https://www.opendota.com/players/81761015
 Definitely trying to play 3, but pretty value on pos 4 I guess, not very good in other roles.'"
TheMantis,75,Yamez,https://www.dotabuff.com/players/177129466,4080,1,1,2,4,5,"Done rd2l for 2 seasons. Ancient 2 support. https://www.dotabuff.com/players/177129466
 Strengths: teamfight, direction, morale // Weaknesses: micro, farming
 I can make a team icon for us with my photoshop skills.'"
MGHappyhobo,35,Tigerâ„¢,https://www.dotabuff.com/players/109383801,3970,4,3,3,1,1,Preferably 1 or 3 positions.'
Tokyo,83,Bakerboy,https://www.dotabuff.com/players/119941833,3910,1,1,3,4,5,Chill. Prefer 4 or 5.
Effjai,105,Bobby B.,https://www.dotabuff.com/players/80997236,3900,5,3,2,2,2,Carry
smacktrickz,80,Fulcrum,https://www.dotabuff.com/players/185710583,3870,5,2,5,1,2,
キZend,120,mplayer,https://www.dotabuff.com/players/188350293,3810,5,1,2,2,3,Mostly play pos 1'
djconrad,110,Mooshack,https://www.dotabuff.com/players/41807270,3800,3,5,1,1,1,
DoomCow33,75,Lucas,https://www.dotabuff.com/players/121388910,3500,4,4,4,4,1,Average Tusk Enjoyer
gronaldo44,16,MAPPO,https://www.dotabuff.com/players/123919855,3500,1,1,1,1,1,PMA only. Please dont make me deal with your BS.'
Burrahobbit,60,Cerys,https://www.dotabuff.com/players/83833103,3480,1,1,1,1,5,"Trash at the video game. I play pos 5 (poorly) with an extremely limited hero pool. My entire value is getting the enemy team hyped to kill me. If you spend more than $20 on me, I will hate you for eternity. <3'"
Vuvuzela Virtuoso Hans Rudolph,31,marci feet pogU,https://www.dotabuff.com/players/110994660,3280,5,5,3,3,4,"I play 1 or 2, usually heroes that win lanes and take objectives relatively fast. Am willing to draft and do in-game shotcalling too if needed.'"
Chraos,50,tilly,https://www.dotabuff.com/players/676702,3270,3,1,4,5,5,I work M-F 8am to 5. Play Dota after that. My dotabuff: https://www.dotabuff.com/players/676702'
DoomCow33,53,AwfulWaffLE,https://www.dotabuff.com/players/64041417,3210,1,2,3,5,5,I'm free most days as long as you give me a few days heads up.'
gronaldo44,30,Mik5,https://www.dotabuff.com/players/400892875,3120,1,1,3,5,5,"4/5 Player 
 Easy to play with, don't draft me if you're toxic'"
Vuvuzela Virtuoso Hans Rudolph,52,Smashe,https://www.dotabuff.com/players/16710765,3110,5,2,5,3,3,"pick me for value 1 if you have high mmr (divine+) mid+off.
 pick me for value 3 if you have high mmr (divine+) mid+safe.
 pick me for 4 or 5 if you have 3 high mmr cores ONLY.
 pick me for 2 if you want me to play toxic mid heroes (viper/veno)'"
smacktrickz,82,captaindrunk1111,https://www.dotabuff.com/players/138493082,3110,2,1,4,5,5,"I am a good support. I like to play bane, rubic, crytalmaiden, grim, jak, and oracle the most. can still play other supports well. I always have a smoke on me too. can shot call if needed. plz cut the tree if im 5. im new to RD2L but i have played in leagues before. ephey has casted one of my games before so cool points.'"
ZombiesExpert,0,ALooseMoose,https://www.dotabuff.com/players/83487685,3100,3,1,2,4,4,"3k pos4/5, available most nights of the week'"
MGHappyhobo,57,*Kisses*,https://www.dotabuff.com/players/947240,3050,2,2,3,5,4,"I like to pretend I am better than I am, but I am not better than I think I am. In fact, I am worse than I think that I am, which is just.... bad!'"
Chraos,60,MontrealOsaka,https://www.dotabuff.com/players/29380540,3040,5,4,5,5,5,Captained a team in Tuesday division last season.'
ZombiesExpert,7,djaqk,https://www.dotabuff.com/players/111886231,2980,4,4,4,3,2,"I was told by a buddy to sign up, thought it would be fun. I occasionally cast for AD2L and MWD2L, and I'd be happy to cast for RD2L, but I currently have an itch to compete :)'"
PooNaNi,24,Charkhil,https://www.dotabuff.com/players/78362704/,2910,1,1,1,5,1,i am off the grid haha but what if jk?
ZombiesExpert,7,Ripley,https://www.dotabuff.com/players/70487965,2880,2,1,5,4,1,"I play 3 - pick if you spent too much on a 4 and need a 3 that can get a blink and make plays while all your more competent players are farming.
 NOTE: I'm closing on a house end of this month and will be moving early September. Very likely to miss week 0'"
Clare â¤ Teresa,37,Woh?,https://www.dotabuff.com/players/152985237,2700,1,1,1,2,3,"Still mourning, but ready to hurt again.
 https://www.youtube.com/watch?v=vQePo06B2l8'"
YungBuck,17,Dream,https://www.dotabuff.com/players/58762087,2600,4,3,4,4,3,"comfortable at any position, but typically play 1/3/4 regularly. I learned a lot from vel/polo team last season despite us having an underwhelming performance. looking to play with motivated but not too overly competitive people. main point of playing is to meet new ppl and experience playing w/ their different styles/philosophies. haven't played ranked in a long time seriously, as it is a cesspool of positivity /s'"
smacktrickz,17,MegaloMaNiAC,https://www.dotabuff.com/players/191695402,2600,1,1,1,5,3,it's not feeding when i do it'
PooNaNi,15,Kizu,https://www.dotabuff.com/players/100579655,2580,3,4,5,1,1,Me core. I'll learn patch during rd2l games :)'
gronaldo44,8,Pneuma,https://www.dotabuff.com/players/58201677,2540,1,1,5,4,4,"won't scrim during the week, will scrim on weekends. do not put me on a PINGdingDONG or doofgod team. do not pay more than $4. i will not lane with toth. voted trump.'"
TheMantis,2,Newbycakes,https://www.dotabuff.com/players/24521769,2360,5,3,2,5,2,Slowly climbing back up in rank just playing Pos 1 mostly draft me as Pos1 or pos4'
PooNaNi,15,Lee Harvey AWPswell,https://www.dotabuff.com/players/130927010,2350,1,1,2,4,5,Fuck a blood I got crippling depression'
Effjai,11,Panda,https://www.dotabuff.com/players/120539214,2130,1,1,3,5,4,"Versatile Pos 4 with a lot of experience in the game.
 https://www.dotabuff.com/players/120539214'"
Tokyo,6,[PDF] Saltpork,https://www.dotabuff.com/players/108686019,1920,1,1,2,4,4,Bottom of the barrel Fat Kid ready to ruin your games. Plays out of meta trash to lose and doesn't play FOTM garbage on principle. Clerics are cruise control for cool'
